ID,carat,cut,color,clarity,depth,table,price,x,y,z
30383,1.15,Very Good,H,VS1,62.5,56,7040,6.65,6.72,4.18
30384,0.9,Good,G,SI1,63.7,56,3074,6.1,6.06,3.87
30385,0.54,Ideal,G,VVS2,61.8,56,1985,5.23,5.25,3.24
30386,2.04,Very Good,J,VS1,62.6,58,14527,8.06,8.11,5.06
30387,0.42,Premium,E,SI2,58.5,60,814,4.94,4.91,2.88
30388,0.74,Very Good,I,VS1,62.3,60,2491,5.78,5.8,3.61
30389,0.54,Very Good,F,SI1,61.2,55,1346,5.23,5.29,3.22
30390,1.32,Very Good,H,SI1,62.3,57,7270,7.04,6.99,4.37
30391,0.31,Ideal,G,VVS1,62.8,57,977,4.33,4.3,2.71
30392,1.5,Ideal,H,SI1,61.6,57,7627,7.34,7.24,4.49
30393,1.19,Ideal,H,VS1,62.1,54,7181,6.8,6.83,4.23
30394,0.36,Ideal,F,SI1,62.7,57,667,4.56,4.53,2.85
30395,0.74,Very Good,E,SI2,61,57,2574,5.83,5.88,3.57
30396,0.56,Ideal,H,VS1,61.8,55,1616,5.3,5.34,3.29
30397,0.82,Premium,H,SI2,60.4,58,2629,6.11,6.07,3.68
30398,0.59,Very Good,F,VS2,62,58,1764,5.35,5.42,3.34
30399,0.9,Premium,H,VS2,62.7,59,4082,6.15,6.1,3.84
30400,0.3,Very Good,F,SI1,60.3,61,471,4.31,4.34,2.61
30401,0.82,Good,G,VS2,64,57,2805,5.92,5.89,3.78
30402,2.03,Premium,H,VS2,62.1,56,18139,8.2,8.12,5.07
30403,1.52,Very Good,F,SI1,61.4,59,11776,7.39,7.46,4.56
30404,0.37,Ideal,F,VVS2,61.1,56,987,4.62,4.65,2.83
30405,1.51,Very Good,E,SI2,62.3,62,9936,7.15,7.26,4.49
30406,0.7,Ideal,D,VS1,62,57,3335,5.69,5.76,3.55
30407,1.08,Ideal,F,SI2,61.3,55,5164,6.59,6.62,4.05
30408,0.52,Very Good,H,SI1,62.6,59,1161,5.06,5.13,3.19
30409,0.54,Very Good,D,SI1,60.3,61,1650,5.26,5.29,3.18
30410,0.54,Premium,F,VS2,58.2,60,1667,5.39,5.34,3.12
30411,0.31,Ideal,D,VVS2,61.1,56,1034,4.38,4.39,2.68
30412,0.31,Ideal,D,VS2,61.6,57,734,4.36,4.38,2.69
30413,1.5,Ideal,F,VS2,60.2,55,14281,7.45,7.51,4.5
30414,0.29,Ideal,G,VS2,61.6,56,525,4.26,4.29,2.63
30415,0.36,Premium,F,VS2,61.4,58,932,4.6,4.56,2.81
30416,0.31,Premium,H,VS1,61.8,61,698,4.36,4.32,2.68
30417,0.62,Ideal,G,VS1,61.8,57,2141,5.47,5.5,3.39
