ID,carat,cut,color,clarity,depth,table,price,x,y,z
1,0.73,Very Good,E,VS1,61.5,57,3492,5.78,5.83,3.57
2,0.76,Ideal,F,VS2,61.6,55,2725,5.88,5.9,3.63
3,1.01,Good,G,SI2,63.8,53,4185,6.41,6.31,4.06
4,2.02,Very Good,F,SI1,62.7,59,17530,7.97,8.03,5.02
5,1.23,Ideal,J,SI1,63.1,58,4959,6.8,6.74,4.27
6,0.73,Very Good,D,SI2,60.4,59,2703,5.8,5.86,3.52
7,0.4,Ideal,G,SI1,60.9,55,873,4.82,4.79,2.93
8,2,Ideal,H,SI1,63.9,54,18440,7.92,8,5.1
9,1.51,Premium,J,SI1,61.2,62,6976,7.36,7.32,4.49
10,1.01,Good,H,SI2,64.1,56,3111,6.37,6.3,4.06
11,0.32,Very Good,E,SI1,62.8,57,561,4.34,4.39,2.74
12,0.43,Ideal,G,SI1,62.6,56,789,4.79,4.82,3.01
13,0.3,Ideal,D,VS2,62.6,56,911,4.31,4.28,2.69
14,0.9,Fair,E,VS2,65,55,4057,6.11,6.04,3.95
15,1.05,Ideal,E,VVS2,61.3,56,9843,6.55,6.59,4.03
16,0.9,Very Good,H,VS1,61.5,59,4136,6.13,6.19,3.79
17,1.01,Ideal,E,SI1,62.6,57,5599,6.43,6.38,4.01
18,0.51,Ideal,F,VS2,62.7,57,1562,5.11,5.06,3.19
19,0.51,Very Good,H,VS2,59.8,57,1251,5.22,5.25,3.13
20,0.51,Very Good,E,VS2,61.3,60,1656,5.11,5.16,3.15
21,0.4,Very Good,I,VVS1,63.3,57,1080,4.71,4.67,2.97
22,0.54,Ideal,F,VS2,62.2,57,1662,5.21,5.24,3.25
23,0.33,Ideal,G,VVS2,62,53.5,754,4.44,4.48,2.76
24,0.23,Very Good,E,VVS1,61.8,59,530,3.9,3.93,2.42
25,0.33,Premium,E,SI1,59.1,58,743,4.56,4.51,2.68
26,0.72,Very Good,G,VS1,60.1,63,3024,5.86,5.82,3.51
27,0.51,Ideal,F,VVS2,62.4,57,2203,5.12,5.08,3.18
28,1.01,Good,G,VS2,60.2,65,5050,6.55,6.48,3.92
29,1,Premium,E,VS1,58.7,62,7392,6.6,6.55,3.86
30,0.32,Ideal,E,VS2,60.8,55,702,4.42,4.49,2.71
31,0.41,Ideal,F,VS2,62.1,56,1107,4.79,4.74,2.96
32,1.01,Premium,F,VVS2,59.3,60,8579,6.52,6.5,3.86
33,1.5,Very Good,I,VS1,60.4,59,9759,7.35,7.42,4.46
34,0.3,Ideal,D,VS2,61.6,56,670,4.31,4.36,2.67
35,1.02,Very Good,G,VS2,60.9,56,6432,6.47,6.51,3.95
36,1.01,Very Good,E,VS2,62.7,57,6666,6.31,6.36,3.97
37,0.41,Ideal,E,VS1,62.3,57,1153,4.77,4.74,2.96
38,1.23,Premium,G,VS1,62.2,58,5786,6.78,6.74,4.27
39,1.51,Premium,H,VS2,62.8,60,11268,7.28,7.25,4.56
40,0.31,Ideal,H,VS2,61.3,56,507,4.36,4.38,2.68
41,0.71,Ideal,G,SI2,60.6,57,2325,5.81,5.87,3.54
42,0.75,Ideal,E,SI1,60.8,56,3045,5.91,5.89,3.59
43,1.15,Ideal,G,VS2,61.6,55,7587,6.74,6.76,4.16
44,1.21,Premium,G,VS1,62.7,58,8456,6.79,6.74,4.24
45,0.91,Good,E,VS2,56.3,64,4823,6.37,6.42,3.6
46,0.34,Ideal,G,VVS1,62.1,53,863,4.49,4.53,2.8
47,0.5,Ideal,J,VS1,62.5,57,1082,5.06,5.09,3.17
48,1.24,Premium,H,VS1,61.2,59,7493,6.94,6.91,4.24
49,0.3,Premium,D,SI2,60.2,60,447,4.32,4.35,2.61
50,0.3,Ideal,E,SI1,61.9,57,675,4.33,4.29,2.67
51,0.2,Premium,E,VS2,59,60,367,3.81,3.78,2.24
52,1.01,Premium,H,SI2,59.6,60,3732,6.55,6.5,3.89
53,0.24,Ideal,F,VVS1,60.8,55,678,4.03,4.06,2.46
54,0.57,Ideal,I,VS2,61.6,54,1258,5.35,5.4,3.31
55,0.33,Ideal,D,VS2,60.3,55,667,4.5,4.52,2.72
56,2.01,Very Good,I,VS2,59.6,62,15919,8.17,8.25,4.89
57,0.79,Very Good,G,SI1,60.6,57,2793,5.98,6.06,3.65
58,1.1,Very Good,I,SI2,62.8,57,4083,6.56,6.63,4.14
59,0.31,Ideal,D,VS2,61.6,55,734,4.36,4.37,2.69
60,0.42,Ideal,E,VVS1,59.7,56,1369,4.91,4.88,2.92
61,0.43,Premium,D,VS2,60.7,58,1129,4.88,4.84,2.95
62,0.35,Ideal,I,SI2,61.6,55,580,4.62,4.53,2.82
63,0.73,Good,F,VVS2,58.2,63,3166,5.87,6.01,3.46
64,0.71,Premium,F,VS1,60.5,58,2839,5.75,5.72,3.47
65,1.3,Ideal,G,VS1,62,55,10038,6.98,7.02,4.34
66,0.41,Ideal,G,VS2,61.4,54,827,4.77,4.84,2.95
67,0.54,Ideal,D,SI1,62.6,55,1715,5.23,5.19,3.26
68,1.27,Premium,I,VS1,59.5,61,6611,7.08,7.04,4.2
69,0.94,Premium,G,SI1,61.9,57,4106,6.29,6.24,3.88
70,0.7,Very Good,I,SI1,59.4,62,2058,5.77,5.82,3.44
71,0.57,Ideal,D,SI2,62.3,53,1333,5.32,5.34,3.32
72,1.57,Premium,I,VS2,62.5,58,9847,7.5,7.42,4.66
73,0.71,Premium,D,VS1,62.9,57,2860,5.66,5.6,3.54
74,2.2,Ideal,J,SI1,61.5,57,14593,8.41,8.37,5.16
75,1.01,Premium,F,VS2,62.1,60,6097,6.43,6.36,3.97
76,0.43,Ideal,G,IF,61.9,53,1318,4.87,4.88,3.02
77,0.32,Ideal,I,VS1,60.9,56.7,529,4.41,4.44,2.69
78,1.19,Good,E,VS2,57.4,60,6937,6.9,7,3.99
79,0.7,Very Good,J,SI1,61.9,58,1666,5.64,5.67,3.5
80,0.4,Very Good,F,SI1,63.3,58,882,4.72,4.69,2.98
81,1.02,Very Good,F,VS2,61.8,57,6047,6.4,6.44,3.97
82,1.06,Ideal,E,VS2,61.8,55,7788,6.59,6.51,4.05
83,1.04,Premium,J,SI1,60.2,56,4036,6.61,6.54,3.96
84,0.71,Very Good,J,SI1,60.7,58,1643,5.78,5.81,3.52
85,0.79,Ideal,F,SI2,61.9,55,2771,5.97,5.92,3.68
86,1.01,Good,H,SI1,63.4,58,4559,6.34,6.38,4.03
87,0.6,Very Good,I,VS2,60.6,60,1402,5.46,5.49,3.32
88,0.36,Ideal,E,VS2,62.1,55,789,4.54,4.58,2.83
89,1.54,Premium,E,SI2,59.9,60,8408,7.49,7.38,4.46
90,0.33,Ideal,J,VS1,62.1,55,434,4.41,4.44,2.75
91,0.33,Ideal,D,VS2,62.1,54,781,4.43,4.46,2.76
92,0.41,Ideal,F,IF,62.3,55,1439,4.78,4.82,2.99
